short_name,overall,nationality,team_position,age,height_cm,weight_kg,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
Zou Dehai,60,China PR,GK,26,187,79,18,16,19,30,14,14,13,11,23,24,49,42,30,55,53,41,56,33,64,14,21,20,17,15,21,23,25,14,12,59,61,54,59,62
Zhou Yun,63,China PR,RB,28,183,75,66,33,65,62,43,59,42,40,58,64,66,65,88,53,78,32,65,68,68,37,53,60,52,54,38,55,66,57,60,16,7,15,7,13
Zheng Zhi,70,China PR,CDM,38,181,75,61,60,66,70,64,70,64,65,66,77,64,35,69,68,67,68,55,33,66,66,83,73,63,71,68,75,72,69,67,13,16,6,10,14
Zheng Zheng,69,China PR,LB,29,186,77,65,63,56,70,48,68,67,67,62,67,80,75,63,63,70,52,69,70,65,48,70,67,58,72,59,50,68,70,67,10,11,8,8,14
Zheng Kaimu,62,China PR,RCM,27,185,80,28,46,58,54,31,38,37,35,52,48,60,61,58,60,55,43,70,72,72,36,68,56,44,52,30,48,57,66,61,14,8,15,15,15
Zhao Yuhao,65,China PR,RCB,26,180,79,34,30,58,62,45,49,35,36,59,59,65,61,58,63,72,44,73,78,69,44,65,65,57,53,45,55,65,66,62,13,15,15,8,10
Zhao Xuri,68,China PR,LDM,33,185,84,54,54,64,64,54,57,50,61,69,62,37,47,55,61,58,85,65,79,81,71,75,67,60,64,58,63,64,66,62,12,14,15,16,11
Zhao Honglue,64,China PR,LB,29,180,76,65,30,62,59,32,65,42,33,58,60,61,66,60,64,75,44,69,71,65,28,70,68,39,36,44,50,57,59,64,12,9,7,6,6
Zhang Yuning,67,China PR,LS,22,184,69,53,67,73,67,61,61,58,41,63,68,63,65,64,54,65,71,72,61,73,63,47,23,66,56,42,60,20,22,18,14,12,6,12,9
Zhang Xiaobin,62,China PR,RCM,25,188,72,46,46,48,54,42,51,44,39,51,62,59,58,50,60,61,43,63,61,75,48,66,63,59,57,52,49,65,60,57,9,10,12,11,10
Zhang Lu,61,China PR,GK,31,192,85,15,12,17,13,12,17,12,15,34,22,62,45,56,60,23,53,56,37,65,11,32,13,13,45,19,63,20,17,24,61,59,70,56,60
Zhang Lie,61,China PR,GK,37,190,85,20,16,19,21,16,17,20,14,21,24,36,35,36,58,45,46,32,38,45,11,25,17,15,54,22,58,20,16,19,60,62,61,62,57
Zhang Chenglin,62,China PR,LCB,32,183,75,58,39,63,56,42,57,33,37,52,58,72,59,62,60,67,33,57,65,69,39,56,56,40,36,37,65,54,66,64,13,7,15,9,14
Zhang Chengdong,69,China PR,RB,30,188,86,68,65,75,65,52,70,68,69,53,71,79,52,74,70,69,73,83,81,80,67,68,56,73,68,67,62,37,65,64,7,14,6,8,7
Zhang Cheng,61,China PR,RB,30,180,72,52,24,69,58,23,48,29,30,60,59,67,65,71,58,67,30,70,67,72,25,51,55,46,34,36,59,56,61,62,7,15,12,13,8
Z. Yavru,68,Turkey,RDM,27,178,78,64,40,60,62,58,65,65,38,60,65,78,80,71,65,77,70,64,74,68,60,62,64,60,44,43,58,65,70,63,8,11,13,7,9
Z. Vyner,64,England,RB,22,188,73,53,29,66,55,22,54,40,22,52,58,73,66,64,60,56,39,76,73,74,28,60,64,51,50,36,54,64,65,66,9,8,7,10,9
Z. Tripić,66,Norway,LW,26,182,74,67,61,51,65,56,68,66,63,57,67,76,75,72,59,69,74,42,74,70,65,81,33,63,60,65,62,57,28,25,10,8,15,16,11
Z. Touré,69,Senegal,LCB,29,183,79,30,14,73,53,13,32,25,42,58,58,67,73,59,65,58,44,90,78,80,19,72,65,44,44,39,60,68,69,60,15,8,8,10,6
Z. Gordon,64,Scotland,RB,26,180,77,59,31,53,51,25,61,29,32,41,60,76,78,71,58,54,41,72,73,75,24,76,59,46,39,42,56,57,67,65,6,11,15,10,9
Z. Flemming,66,Netherlands,CAM,20,183,84,50,64,64,66,56,66,54,62,61,70,69,67,65,62,68,64,64,75,75,55,80,45,66,60,64,62,58,54,53,13,7,7,8,9
Z. Elbouzedi,63,Republic of Ireland,RM,21,180,70,50,57,41,64,50,65,57,59,64,64,71,76,66,58,68,65,56,52,48,50,42,29,55,64,60,63,31,35,41,6,11,13,10,7
Z. Clark,69,Scotland,GK,27,191,85,10,11,20,24,13,12,13,12,19,24,31,31,62,55,51,53,50,24,62,13,33,19,13,40,24,55,15,14,11,66,65,70,70,75
Z. Bytyqi,66,Norway,RW,22,176,70,62,58,43,60,58,70,65,60,55,70,80,76,81,60,76,67,67,64,62,61,62,12,56,60,62,63,39,13,13,13,14,15,9,10
Z. Arsenić,67,Croatia,LCB,25,187,75,57,32,56,62,42,52,41,37,51,57,66,70,50,48,60,58,76,71,75,35,63,67,38,37,36,62,66,69,69,15,10,12,9,10
Z. Al Sahafi,65,Saudi Arabia,LCB,25,188,73,54,50,62,60,60,52,38,52,63,59,44,46,61,51,56,75,72,71,88,66,73,55,48,40,50,47,65,64,61,12,11,7,8,11
Yuri,69,Brazil,ST,36,186,78,55,69,60,58,75,67,74,61,44,68,63,69,68,67,55,69,63,65,80,72,43,41,72,54,76,71,40,22,17,7,10,11,15,8
Yun Il Lok,66,Korea Republic,LM,27,178,65,61,58,49,70,58,60,64,56,62,62,75,72,78,66,72,60,68,71,71,54,58,60,69,68,51,55,45,44,23,6,11,6,8,12
Yuan Mincheng,60,China PR,RCB,23,187,78,30,16,48,40,26,26,21,27,45,29,48,66,35,48,56,32,72,69,79,25,45,60,28,33,35,45,70,62,58,12,7,6,6,12
Yu Sang Hun,64,Korea Republic,GK,30,194,84,14,19,19,35,12,12,11,13,34,13,42,34,44,61,52,47,43,32,60,14,32,22,10,57,25,59,13,13,18,64,60,62,65,65
Yu Dabao,64,China PR,RCB,31,182,78,53,51,65,62,60,57,55,56,54,63,68,66,68,67,71,68,71,69,80,56,72,57,66,63,55,68,58,58,52,10,8,9,6,13
Yoon Bit Garam,68,Korea Republic,LCM,29,178,75,62,62,54,69,64,67,66,70,73,63,72,76,72,67,74,72,66,67,72,61,70,64,67,70,63,66,58,55,47,8,11,11,11,6
